LOC118853631	XP_036619699.1
LOC118853640	XP_036619722.1
LOC118853640	XP_036619712.1
LOC118853650	XP_036619732.1
LOC118845015	XP_036608933.1
LOC118845031	XP_036608955.1
LOC118829244	XP_036592134.1
LOC118829302	XP_036592208.1
LOC118829408	XP_036592325.1
LOC118845041	XP_036608967.1
LOC118845023	XP_036608944.1
LOC118829943	XP_036592667.1
LOC118829965	XP_036592716.1
LOC118834987	XP_036598308.1
LOC118834986	XP_036598307.1
LOC118834520	XP_036597860.1
LOC118834516	XP_036597855.1
LOC118834519	XP_036597859.1
LOC118834518	XP_036597857.1
LOC118834517	XP_036597856.1
LOC118830863	XP_036593802.1
LOC118842962	XP_036606209.1
DERL3	XP_036614222.1
DERL3	XP_036614223.1
DERL3	XP_036614224.1
DERL3	XP_036614221.1
SMARCB1	XP_036614220.1
SMARCB1	XP_036614219.1
MMP11	XP_036592867.1
MMP11	XP_036592876.1
MMP11	XP_036592882.1
CHCHD10	XP_036592145.1
CHCHD10	XP_036592153.1
LOC118834700	XP_036598034.1
LOC118834700	XP_036598037.1
LOC118834700	XP_036598035.1
LOC118834700	XP_036598036.1
SNRPD3	XP_036615720.1
GUCD1	XP_036615732.1
UPB1	XP_036596715.1
ADORA2A	XP_036596717.1
SPECC1L	XP_036620144.1
SPECC1L	XP_036620155.1
BCR	XP_036594517.1
BCR	XP_036594509.1
BCR	XP_036594527.1
RAB36	XP_036597733.1
RAB36	XP_036597732.1
RAB36	XP_036597734.1
LOC118833479	XP_036596764.1
MIF	XP_036625288.1
DDT	XP_036605757.1
CABIN1	XP_036592365.1
SUSD2	XP_036593498.1
GGT5	XP_036592729.1
LOC118834712	XP_036598048.1
LOC118834709	XP_036598045.1
LOC118833558	XP_036596816.1
LOC118834711	XP_036598047.1
LOC118834710	XP_036598046.1
LOC118834715	XP_036598051.1
LOC118834713	XP_036598049.1
LOC118834713	XP_036598050.1
LOC118834716	XP_036598053.1
LOC118834716	XP_036598052.1
LOC118840516	XP_036603876.1
LOC118833718	XP_036596995.1
LOC118833742	XP_036597024.1
LOC118842157	XP_036605675.1
LOC118833687	XP_036596959.1
LOC118834480	XP_036597819.1
LOC118834480	XP_036597820.1
LOC118845768	XP_036609688.1
LOC118845793	XP_036609720.1
LOC118845779	XP_036609700.1
LOC118845779	XP_036609708.1
