genome_refseq_accession,protein_name,protein_refseq_accession
GCF_000955945.1,FXN,XP_011912045.1
GCF_015220235.1,FXN,XP_037665117.1
GCF_015220235.1,FXN,XP_037707164.1
GCF_003426925.1,FXN,XP_026245054.1
GCF_015220235.1,FXN,XP_037700243.1
GCF_014108235.1,FXN,XP_036186807.1
GCF_002863925.1,FXN,XP_023483020.1
GCF_023065955.2,FXN,XP_026375117.1
GCF_014176215.1,FXN,KAF6484566.1
GCF_009762305.2,FXN,XP_027472506.1
GCF_000247695.1,FXN,XP_004838236.1
GCF_000003025.6,FXN,XP_020920297.1
GCF_000151735.1,FXN,XP_003472323.2
GCF_014570535.1,FXN,KAI5934409.1
GCF_011764305.1,FXN,XP_044921007.1
GCF_000955945.1,FXN,XP_011912047.1
GCF_000955945.1,FXN,XP_011912049.1
GCF_000955945.1,FXN,XP_011912054.1
GCF_006547405.1,FXN,XP_030732907.1
GCF_000955945.1,FXN,XP_011912052.1
GCF_000955945.1,FXN,XP_011912048.1
GCF_000955945.1,FXN,XP_011912053.1
GCF_011100685.1,FXN,NP_001103428.1
GCF_000955945.1,FXN,XP_011912050.1
GCF_017639785.1,FXN,XP_012978277.1
GCF_000955945.1,FXN,XP_011912046.1
GCF_017639785.1,FXN,UJT32108.1
GCF_020740685.1,FXN,XP_044998298.1
GCF_018350175.1,FXN,XP_003995432.2
GCF_000622305.1,FXN,XP_008850506.1
GCF_014570535.1,FXN,XP_036847099.1
GCF_014570535.1,FXN,XP_036847097.1
GCF_907164565.1,FXN,XP_055469766.1
GCF_000001635.27,FXN,NP_032070.1
GCF_002204375.1,FXN,XP_021504629.1
GCF_000001635.27,FXN,BAE28375.1
GCF_009762305.2,FXN,XP_027472509.1
GCF_027595985.1,FXN,XP_054979840.1
GCF_014176215.1,FXN,KAF6484565.1
GCF_001890085.2,FXN,XP_019516640.1
GCF_027887165.1,FXN,XP_007498640.1
GCF_000622305.1,FXN,XP_029411508.1
GCF_902635505.1,FXN,XP_012398372.1
GCF_015852505.1,FXN,XP_038625317.1
GCF_023159225.1,FXN,XP_048188835.1
GCF_000247695.1,FXN,AIZ08993.1
GCF_004115215.2,FXN,XP_039766845.1
GCF_019393635.1,FXN,XP_043832942.1
GCF_011100635.1,FXN,XP_036593405.1
GCF_005870125.1,FXN,XP_031363268.1
GCF_002099425.1,FXN,XP_020857515.1
GCF_005870125.1,FXN,XP_021386220.1
GCF_006547405.1,FXN,XP_030723690.1
GCF_005870125.1,FXN,OWK55558.1
